,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
141,uncharted 2 among thieves,Action,T,PS3,Sony Computer Entertainment,9.5,9.6,1.8158729063132706,2009.0
142,call of duty 4 modern warfare,Shooter,M,PS3,Activision,9.5,9.6,1.8158729063132706,2007.0
143,fifa soccer 12,Sports,E,PS3,EA Sports,9.2,8.310770234986945,1.8158729063132706,2011.0
144,fifa 14,Sports,E,PS3,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2013.0
145,red dead redemption,Action,M,PS3,Rockstar Games,9.5,10.0,1.8158729063132706,2011.0
146,donkey kong country returns,Platform,E,Wii,Nintendo,8.6,8.310770234986945,6.53,2010.0
147,assassins creed iii,Action Adventure,M,PS3,Ubisoft,8.8,8.310770234986945,1.8158729063132706,2012.0
148,guild wars,Role Playing,T,PC,NCSoft,8.7,8.310770234986945,6.5,2005.0
149,red dead redemption,Action,M,X360,Rockstar Games,9.5,10.0,1.8158729063132706,2010.0
150,the elder scrolls v skyrim,Role Playing,M,PS3,Bethesda Softworks,9.0,9.1,1.8158729063132706,2011.0
151,final fantasy xii,Role Playing,T,PS2,Square Enix,9.4,9.5,6.4,2006.0
152,tomodachi life,Simulation,E,3DS,Nintendo,7.8,8.310770234986945,6.4,2014.0
153,pokemon crystal version,Role Playing,E,GBC,Nintendo,8.7,8.310770234986945,6.39,2001.0
154,halo 3 odst,Shooter,M,X360,Microsoft Game Studios,8.7,8.310770234986945,1.8158729063132706,2009.0
155,minecraft,Misc,E10,PS4,Sony Computer Entertainment,9.4,8.310770234986945,21.505000000000003,2014.0
156,fifa 15,Sports,E,PS4,EA Sports,8.1,8.310770234986945,1.8158729063132706,2014.0
157,kingdom hearts,Role Playing,E,PS2,Square EA,8.5,8.310770234986945,6.3,2002.0
158,the last of us,Action Adventure,M,PS3,Sony Computer Entertainment America,9.5,8.310770234986945,1.8158729063132706,2013.0
159,driver,Action,T,PS,GT Interactive,8.5,8.310770234986945,1.8158729063132706,1999.0
160,call of duty wwii,Shooter,M,XOne,Activision,8.0,8.310770234986945,1.8158729063132706,2017.0
161,god of war 2018,Action,M,PS4,Sony Interactive Entertainment,9.7,8.310770234986945,1.8158729063132706,2018.0
162,big brain academy,Misc,E,DS,Nintendo,7.7,8.310770234986945,6.15,2006.0
163,minecraft,Misc,E10,PS3,Sony Computer Entertainment America,8.16,8.310770234986945,21.505000000000003,2014.0
164,metal gear solid 2 sons of liberty,Action,M,PS2,Konami,9.5,7.0,1.8158729063132706,2001.0
165,metal gear solid,Action,M,PS,Konami,9.3,8.310770234986945,6.0,1998.0
166,myst,Adventure,E,PC,Broderbund,8.9,8.310770234986945,6.0,1995.0
167,metal gear solid 4 guns of the patriots,Action,M,PS3,Konami,9.3,9.8,1.8158729063132706,2008.0
168,mario kart super circuit,Racing,E,GBA,Nintendo,9.3,8.310770234986945,5.91,2001.0
169,super mario sunshine,Platform,E,GC,Nintendo,9.2,8.310770234986945,5.91,2002.0
170,littlebigplanet,Platform,E,PS3,Sony Computer Entertainment,9.4,9.2,1.8158729063132706,2008.0
171,super mario 3d world,Platform,E,WiiU,Nintendo,9.5,8.310770234986945,5.8,2013.0
172,links crossbow training,Shooter,T,Wii,Nintendo,6.9,8.310770234986945,5.79,2007.0
